,Judet,Localitate
516,Alba,Sântămărie
517,Alba,Sântimbru
518,Alba,Scărișoara
519,Alba,Scoarța
520,Alba,Sebeș
521,Alba,Sebeșel
522,Alba,Sebișești
523,Alba,Secășel
524,Alba,Segaj
525,Alba,Sfârcea
526,Alba,Sfoartea
527,Alba,Sicoiești
528,Alba,Silivaș
529,Alba,Simulești
530,Alba,Snide
531,Alba,Sohodol
532,Alba,Sohodol
533,Alba,Spătac
534,Alba,Stănești
535,Alba,Stăuini
536,Alba,Stâlnișoara
537,Alba,Stâna de Mureș
538,Alba,Straja
539,Alba,Stremț
540,Alba,Strungari
541,Alba,Sturu
542,Alba,Sub Piatră
543,Alba,Sucești
544,Alba,Surdești
545,Alba,Suseni
546,Alba,Șard
547,Alba,Șasa
548,Alba,Șeușa
549,Alba,Șibot
550,Alba,Șilea
551,Alba,Șimocești
552,Alba,Șoal
553,Alba,Șoicești
554,Alba,Șoimuș
555,Alba,Șona
556,Alba,Șpălnaca
557,Alba,Șpring
558,Alba,Ștefanca
559,Alba,Ștei-Arieșeni
560,Alba,Ștertești
561,Alba,Știuleți
562,Alba,Șugag
563,Alba,Tamborești
564,Alba,Tărtăria
565,Alba,Tătârlaua
566,Alba,Tău
567,Alba,Tău Bistra
568,Alba,Tăuni
569,Alba,Tăuți
570,Alba,Târsa
571,Alba,Târsa-Plai
572,Alba,Tecșești
573,Alba,Teiu
574,Alba,Teiuș
575,Alba,Teleac
576,Alba,Tibru
577,Alba,Tolăcești
578,Alba,Tomești
579,Alba,Tomnatec
580,Alba,Tomuțești
581,Alba,Tonea
582,Alba,Totoi
583,Alba,Toțești
584,Alba,Trâmpoiele
585,Alba,Trâncești
586,Alba,Trifești
587,Alba,Trifești
588,Alba,Trișorești
589,Alba,Turdaș
590,Alba,Țarina
591,Alba,Țărănești
592,Alba,Țelna
593,Alba,Țifra
594,Alba,Țoci
595,Alba,Ungurei
596,Alba,Unirea
597,Alba,Urdeș
598,Alba,Vadu Moților
599,Alba,Vale în Jos
600,Alba,Valea Abruzel
601,Alba,Valea Albă
602,Alba,Valea Barnii
603,Alba,Valea Bârluțești
604,Alba,Valea Bucurului
605,Alba,Valea Cerbului
606,Alba,Valea Ciuciului
607,Alba,Valea Cocești
608,Alba,Valea Făgetului
609,Alba,Valea Giogești
610,Alba,Valea Goblii
611,Alba,Valea Holhorii
612,Alba,Valea Inzelului
613,Alba,Valea Largă
614,Alba,Valea lui Mihai
615,Alba,Valea Lungă
616,Alba,Valea Lupșii
617,Alba,Valea Maciului
618,Alba,Valea Mare
619,Alba,Valea Mănăstirii
620,Alba,Valea Mică
621,Alba,Valea Mlacii
622,Alba,Valea Morii
623,Alba,Valea Negrilesii
624,Alba,Valea Poienii
625,Alba,Valea Poienii
626,Alba,Valea Sasului
627,Alba,Valea Șesii
628,Alba,Valea Șesii
629,Alba,Valea Țupilor
630,Alba,Valea Uțului
631,Alba,Valea Uzei
632,Alba,Valea Verde
633,Alba,Valea Vințului
634,Alba,Vama Seacă
635,Alba,Vanvucești
636,Alba,Văi
637,Alba,Văleni
638,Alba,Văleni
639,Alba,Vălișoara
640,Alba,Văsești
641,Alba,Vâlcăneasa
642,Alba,Vâlcea
643,Alba,Vâlcești
644,Alba,Vâltori
645,Alba,Vâltori
646,Alba,Vârși-Rontu
647,Alba,Vârșii Mari
648,Alba,Vârșii Mici
649,Alba,Vârtănești
650,Alba,Vârtop
651,Alba,Verdești
652,Alba,Veseuș
653,Alba,Vidolm
654,Alba,Vidra
655,Alba,Vidrișoara
656,Alba,Viezuri
657,Alba,Vingard
658,Alba,Vința
659,Alba,Vințu de Jos
660,Alba,Vlădești
661,Alba,Vlădoșești
662,Alba,Vulcan
663,Alba,Vurpăr
664,Alba,Zăgriș
665,Alba,Zărieș
666,Alba,Zânzești
667,Alba,Zlatna
668,Arad,Aciuța
669,Arad,Adea
670,Arad,Agrișu Mare
671,Arad,Agrișu Mic
672,Arad,Aldești
673,Arad,Almaș
674,Arad,Aluniș
675,Arad,Andrei Șaguna
676,Arad,Apateu
677,Arad,Arad
678,Arad,Arăneag
679,Arad,Archiș
680,Arad,Avram Iancu
681,Arad,Avram Iancu
682,Arad,Bacău de Mijloc
683,Arad,Baia
684,Arad,Barațca
685,Arad,Bata
686,Arad,Bănești
687,Arad,Bătuța
